vessel_key,identity_basis,name,imo,mmsi,operator,ais_type,type_label,length_m,width_m,gross_tonnage,dimension_quality,size_band_reliable,existing_cruise_classification,candidate_classification,confidence_score,classification_reasons,exclusion_reasons,total_estimated_co2_tonnes,latest_month_estimated_co2_tonnes,observation_count,active_days,first_observed,latest_observed
IMO:9116876,IMO,Vision of the Seas,9116876,311321000,Royal Caribbean International,Ocean cruise ship,Ocean cruise ship,0,0,0,MISSING,unknown_length,VERIFIED_OCEAN_CRUISE / HIGH / ACCEPT,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Ocean cruise ship,already verified as an accepted ocean/expedition cruise vessel,310.08,310.08,381,2,2026-07-09T07:17:50.774Z,2026-07-10T04:16:16.834Z
IMO:9117337,IMO,RED EAGLE,9117337,232002589,,Passenger ship,Passenger ship,93,18,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,138.361,138.361,179,2,2026-07-01T13:34:21.010Z,2026-07-02T14:47:53.573Z
IMO:9118721,IMO,Carnival Elation,9118721,355831000,Carnival Cruise Line,Ocean cruise ship,Ocean cruise ship,0,0,0,MISSING,unknown_length,VERIFIED_OCEAN_CRUISE / HIGH / ACCEPT,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Ocean cruise ship,already verified as an accepted ocean/expedition cruise vessel,165.042,165.042,67,2,2026-07-07T07:35:03.482Z,2026-07-09T04:53:41.389Z
IMO:9120877,IMO,CARNIVAL PARADISE,9120877,355833000,,60,60,261,34,0,IMPLAUSIBLE,unknown_length,VERIFIED_OCEAN_CRUISE / HIGH / ACCEPT,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: 60,already verified as an accepted ocean/expedition cruise vessel; commercial passenger/cruise scale or classification detected; dimensions are implausible for a yacht analysis,265.139,265.139,224,3,2026-07-02T12:29:00.603Z,2026-07-07T01:17:18.578Z
IMO:9122552,IMO,Borealis,9122552,311000987,Fred. Olsen Cruise Lines,Ocean cruise ship,Ocean cruise ship,0,0,0,MISSING,unknown_length,VERIFIED_OCEAN_CRUISE / HIGH / ACCEPT,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Ocean cruise ship,already verified as an accepted ocean/expedition cruise vessel,796.237,796.237,791,3,2026-07-08T05:57:14.226Z,2026-07-10T10:13:17.282Z
IMO:9125009,IMO,ALVSNABBEN 5,9125009,265514120,,Passenger ship,Passenger ship,27,7,0,RELIABLE,24_39_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,157.767,157.767,166,2,2026-07-01T13:20:48.297Z,2026-07-02T14:50:58.523Z
IMO:9125437,IMO,DHARMA KARTIKA 1,9125437,525015942,,Passenger ship,Passenger ship,51,12,0,RELIABLE,40_79_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,120.973,120.973,108,2,2026-07-01T15:22:22.205Z,2026-07-02T14:47:12.377Z
IMO:9125944,IMO,STENA JUTLANDICA,9125944,265410000,,Passenger ship,Passenger ship,183,33,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,161.605,161.605,142,2,2026-07-01T13:29:44.572Z,2026-07-02T14:48:14.101Z
IMO:9126792,IMO,AURORA,9126792,230110440,,Passenger ship,Passenger ship,54,12,0,RELIABLE,40_79_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,69.878,69.878,66,2,2026-07-01T15:35:42.736Z,2026-07-02T14:36:02.494Z
IMO:9126807,IMO,Disney Magic,9126807,308516000,Disney Cruise Line,Ocean cruise ship,Ocean cruise ship,0,0,0,MISSING,unknown_length,VERIFIED_OCEAN_CRUISE / HIGH / ACCEPT,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Ocean cruise ship,already verified as an accepted ocean/expedition cruise vessel,667.592,667.592,537,3,2026-07-08T05:54:01.458Z,2026-07-10T08:36:54.417Z
